Neighborhood,Average Wage (MW)
Agronomia,"2,51"
Anchieta,"2,49"
Auxiliadora,"9,76"
Azenha,"5,63"
Bela Vista,"17,57"
Belém Novo,"3,51"
Belém Velho,"2,31"
Boa Vista,"11,98"
Bom Fim,"7,67"
Bom Jesus,"2,71"
Camaquã,"4,12"
Campo Novo,"2,38"
Cascata,"2,18"
Cavalhada,"3,93"
Cel. Aparí­cio Borges,"2,58"
Centro Histórico,"6,43"
Chácaradas Pedras,"12,69"
Chapéudo Sol,"1,75"
Cidade Baixa,"5,91"
Cristal,"5,26"
Cristo Redentor,"5,69"
Espí­rito  Santo,"6,37"
Farrapos,"2,03"
Farroupilha,"8,9"
Floresta,"5,96"
Glória,"4,7"
Guarujá,"5,82"
Higienópolis,"10,74"
Hípica,"3,25"
Humaitá,"3,9"
Independência,"9,87"
Ipanema,"6,53"
Jardim Botânico,"7,45"
Jardim Carvalho,"3,55"
Jardim do Salso,"6,55"
Jardim Floresta,"3,44"
Jardim Isabel,"14,57"
Jardim Itu,"6,43"
Jardim Lindóia,"9,54"
Jardim Sabará,"4,32"
Jardim SãoPedro,"5,58"
Lageado,"2,37"
Lami,"2,15"
Lombado Pinheiro,"1,96"
Mário Quintana,"1,68"
Medianeira,"5,35"
Menino Deus,"8,73"
Moinhos de Vento,"16,04"
Mont'Serrat,"12,5"
Morro Santana,"3,41"
Navegantes,"3,53"
Nonoai,"5,11"
Partenon,"4,14"
Passo D'Areia,"5,68"
Passo das Pedras,"3,39"
Pedra Redonda,"18,24"
Petrópolis,"10,69"
Ponta Grossa,"2,9"
Praia de Belas,"7,17"
Restinga,"2,1"
Rio Branco,"11,97"
Rubem Berta,"3,04"
Santa Cecí­lia,"7,59"
Santa Maria Goretti,"4,41"
Santa Tereza,"3,48"
Santana,"7,1"
Santo Antônio,"5,23"
São Geraldo,"4,31"
São João,"6,62"
São José,"2,22"
São Sebastião,"4,24"
Sarandi,"2,64"
Serraria,"1,54"
Teresópolis,"5,77"
Três Figueiras,"17,67"
Tristeza,"9,44"
Vila Assunção,"11,13"
Vila Conceição,"8,7"
Vila Ipiranga,"5,93"
Vila Jardim,"3,95"
Vila João Pessoa,"3,22"
Vila Nova,"3,31"
