,Code,Neighborhood,Price,m²,Street,Price/m²
0,155726,Santa Tereza,1172000.0,238.67,Rua Otávio Dutra,4910.545942095781
1,402372,Centro Histórico,243000.0,44.32,Rua General Bento Martins,5482.851985559567
2,260508,Centro Histórico,200000.0,52.4,Avenida Senador Salgado Filho,3816.7938931297713
3,550806,Cidade Baixa,370000.0,77.7,Rua da República,4761.9047619047615
4,106259,Ipanema,550000.0,284.0,Avenida Tramandaí,1936.619718309859
5,501833,Jardim Botânico,385000.0,68.0,Rua Chile,5661.764705882353
6,223297,Centro Histórico,220000.0,70.0,Rua 24 de Maio,3142.8571428571427
7,394945,Floresta,500000.0,98.49,Rua Câncio Gomes,5076.657528683116
8,338261,Jardim Lindóia,579000.0,130.0,Avenida Panamericana,4453.846153846154
9,11270,Moinhos de Vento,648500.0,113.28,Rua Marquês do Pombal,5724.752824858757
10,191634,Bom Jesus,200000.0,41.43,Rua São Lucas,4827.419744146753
11,201198,Santana,640000.0,193.53,Rua Monsenhor Veras,3306.980829845502
12,226335,Jardim Sabará,140000.0,43.5,Rua Doutor Otávio Santos,3218.390804597701
13,217421,Três Figueiras,3800000.0,488.3,Avenida Luiz Manoel Gonzaga,7782.101167315175
14,298478,Cristo Redentor,170000.0,41.52,Rua Adão Baino,4094.412331406551
15,215887,Jardim Leopoldina,171000.0,43.6,Avenida Juscelino Kubitschek de Oliveira,3922.018348623853
16,, Bela Vista,890000.0,83.37,"Rua Barão de Ubá, Bela Vista, Porto Alegre",10675.302866738635
17,217623,Vila Ipiranga,700000.0,93.0,Rua Alberto Silva,7526.881720430108
18,162860,Partenon,640000.0,150.0,Rua Guilherme Alves,4266.666666666667
19,294704,Cavalhada,720000.0,134.45,Avenida da Cavalhada,5355.150613611008
20,363307,Parque Santa Fé,118900.0,42.79,Rua General Telino Chagastelles,2778.686609020799
21,541406,Auxiliadora,910000.0,113.75,Rua Anita Garibaldi,8000.0
22,222376,Petrópolis,750000.0,75.43,Rua Felizardo Furtado,9942.99350391091
23,295468,Petrópolis,695000.0,100.92,Avenida Lageado,6886.642885453824
24,225395, Petrópolis,1799000.0,150.0,Rua Professor Fitzgerald,11993.333333333334
25,449584, Espírito Santo,485000.0,150.74,Rua Giorgio Negroni,3217.460528061563
26,310142, Centro Histórico,799000.0,190.0,Rua Duque de Caxias,4205.263157894737
27,251618, Farroupilha,280000.0,70.0,Avenida João Pessoa,4000.0
28,450272, Centro Histórico,586000.0,95.77,Rua Duque de Caxias,6118.826354808395
29,216429, Sarandi,159000.0,48.0,Avenida Engenheiro Francisco Rodolfo Simch,3312.5
30,249633, Boa Vista,1282500.0,212.0,Rua Atanásio Belmonte,6049.528301886792
31,253225, Petrópolis,990000.0,97.28,Rua Jaime Telles,10176.809210526315
32,173051, Petrópolis,699000.0,75.5,Rua Coronel Corte Real,9258.278145695363
33,242684, Farroupilha,560000.0,58.0,Avenida João Pessoa,9655.172413793103
34,158444, Petrópolis,650000.0,137.0,Avenida Bagé,4744.525547445255
35,219643, Bela Vista,2290000.0,358.94,Rua Barão de Ubá,6379.896361508887
36,229022, Cristal,437000.0,76.0,Rua Coronel Massot,5750.0
37,183844, Petrópolis,798000.0,45.14,Rua Curvelo,17678.334071776695
38,114551, Centro Histórico,276000.0,65.11,Rua Riachuelo,4238.980187375211
39,212976, Bela Vista,850000.0,184.53,Rua Barão de Ubá,4606.297079065735
40,338528, Santana,620000.0,44.94,Rua Santana,13796.172674677347
41,491736, Auxiliadora,3700000.0,189.73,Rua Comendador Rheingantz,19501.396721657093
42,220931, Camaquã,295000.0,61.95,Rua Tamandaré,4761.9047619047615
43,226174, Vila Ipiranga,540000.0,83.55,Rua Aracaí,6463.195691202873
44,221848, Menino Deus,117000.0,24.1,Rua Barão do Gravataí,4854.771784232365
45,216205, Moinhos de Vento,1300000.0,133.0,Rua Engenheiro Álvaro Nunes Pereira,9774.436090225563
46,225639, Chácara das Pedras,102000.0,27.56,Avenida Protásio Alves,3701.0159651669087
47,180518, Jardim Lindóia,380172.0,51.94,Rua Guadalupe,7319.445514054679
48,180518, Jardim Lindóia,380172.0,51.94,Rua Guadalupe,7319.445514054679
49,211302, Três Figueiras,1290000.0,113.63,Rua Evaldo Campos,11352.635747601866
50,211309, Mont Serrat,990000.0,111.16,Rua Eudoro Berlink,8906.081324217344
51,268762, Cristal,189000.0,71.23,Rua Jaguari,2653.376386354064
52,210455, Espírito Santo,1100000.0,243.5,Rua Fortunato Della Casa,4517.453798767967
53,229064, Vila Ipiranga,628000.0,92.51,Rua Alberto Silva,6788.455302129499
54,244803, Vila Ipiranga,319500.0,82.7,Rua Padre Jorge Sedelmayr S J,3863.3615477629987
55,264717, Cristal,446000.0,75.99,Rua Coronel Massot,5869.193314909857
56,252056, Moinhos de Vento,237000.0,54.49,Rua Félix da Cunha,4349.421912277482
57,395508, Camaquã,320000.0,56.27,Avenida Otto Niemeyer,5686.866891771814
58,405278, Tristeza,498000.0,105.0,Rua Doutor Pereira Neto,4742.857142857143
59,241595, Bela Vista,2750000.0,289.63,Avenida Nilópolis,9494.8727687049
60,403951, Jardim Itu,320000.0,52.14,Rua Tenente Ary Tarrago,6137.3225930187955
61,142541, Boa Vista,399000.0,100.3,Avenida Carlos Gomes,3978.0658025922235
62,153067, Azenha,114000.0,24.0,Avenida Ipiranga,4750.0
63,210307, Jardim do Salso,412330.0,30.7,Rua São Josemaría Escrivá,13430.944625407166
64,209037, Menino Deus,1150000.0,100.64,Rua Almirante Gonçalves,11426.868044515104
65,182238, Ipanema,1805000.0,500.0,Avenida Guaíba,3610.0
66,184469, Higienópolis,603250.0,168.17,Rua Portugal,3587.143961467563
67,184910, Cristal,196000.0,63.0,Rua Jataí,3111.1111111111113
68,254200, São Sebastião,180500.0,66.0,Avenida Nemoto,2734.848484848485
69,194096, Jardim Leopoldina,224000.0,83.45,Rua Vereador Terezio Meireles,2684.24206111444
70,195824, Higienópolis,299000.0,62.0,Rua Ari Marinho,4822.580645161291
71,219032, Tristeza,256500.0,69.0,Rua Pedro de Oliveira Bittencourt,3717.391304347826
72,250620, Partenon,170000.0,40.9,Rua Oswaldo Pereira de Freitas,4156.479217603912
73,306749, Rio Branco,870000.0,90.3,Rua São Vicente,9634.55149501661
74,201993, Bom Fim,379050.0,87.44,Avenida Osvaldo Aranha,4334.972552607503
75,254567, Moinhos de Vento,399000.0,50.8,Rua Mostardeiro,7854.330708661418
76,257362, Jardim Carvalho,95000.0,42.51,Rua José Madrid,2234.7682898141616
77,200490, Rio Branco,450000.0,130.51,Rua Francisco Ferrer,3448.0116466171175
78,194099, Jardim Leopoldina,224000.0,83.45,Rua Vereador Terezio Meireles,2684.24206111444
79,222735, Menino Deus,2598567.0,219.29,Rua Silveiro,11849.911076656483
80,113698, Tristeza,440000.0,113.74,Rua Dona Paulina,3868.4719535783365
81,129751, Menino Deus,600000.0,126.15,Rua Corrêa Lima,4756.242568370987
82,209697, Independência,1120000.0,216.98,Rua André Puente,5161.766061388146
83,291631, Jardim Carvalho,425000.0,79.6,Avenida Ipiranga,5339.195979899498
84,271085, Auxiliadora,295000.0,75.79,Avenida América,3892.334081013326
85,208322, Rio Branco,1800000.0,632.41,Rua São Vicente,2846.25480305498
86,208324, Hípica,256500.0,100.0,Rua Germano Bonow Filho,2565.0
87,105491, Santo Antônio,520000.0,79.75,Rua Luiz de Camões,6520.376175548589
88,217297, Moinhos de Vento,389500.0,34.23,Avenida Benjamin Constant,11378.90739117733
89,217995, Vila Nova,95000.0,43.31,Estrada Cristiano Kraemer,2193.4888016624336
90,223167, Menino Deus,798000.0,82.65,Rua Almirante Gonçalves,9655.172413793103
91,244387, Tristeza,1899000.0,149.84,Rua Doutor Armando Barbedo,12673.518419647624
92,139260, Partenon,565000.0,154.0,Rua Marechal Mallet,3668.8311688311687
93,242718, Independência,390000.0,110.18,Rua Garibaldi,3539.6623706661826
94,262515, Jardim Botânico,240000.0,85.84,Avenida Ipiranga,2795.8993476234855
95,257499, Jardim Leopoldina,110000.0,55.81,Rua Doutor Vargas Neto,1970.9729439168607
96,164804, São Sebastião,529235.0,61.0,Rua Jerônymo Zelmanovitz,8675.983606557376
97,173640, Praia de Belas,179000.0,22.66,Avenida Ipiranga,7899.382171226832
98,217792, Petrópolis,1330000.0,292.45,Rua Carazinho,4547.78594631561
99,268182, Floresta,332500.0,71.57,Rua Quintino Bocaiúva,4645.801313399469
100,292770, Bela Vista,3500000.0,335.0,Rua Engenheiro Veríssimo de Matos,10447.76119402985
101,202119, Rio Branco,1395000.0,105.53,Rua Quintino Bocaiúva,13218.989860703117
102,204025, Cristo Redentor,635209.0,67.23,Avenida Francisco Trein,9448.296891268777
103,196898, Partenon,325000.0,82.89,Avenida Bento Gonçalves,3920.8589697189045
104,222571, Partenon,255700.0,79.56,Rua Professor Guerreiro Lima,3213.9265962795375
105,266280, Azenha,480000.0,60.79,Rua Visconde de Inhauma,7896.0355321598945
106,110480, Auxiliadora,400000.0,97.49,Rua Vinte e Quatro de Outubro,4102.984921530414
107,182444, Jardim Europa,190000.0,56.38,Rua Doutor Dário de Bittencourt,3369.9893579283435
108,138181, Tristeza,895000.0,293.97,Rua Padre João Batista Reus,3044.528353233323
109,220251, Partenon,160000.0,44.0,Avenida Ipiranga,3636.3636363636365
110,220535, Rubem Berta,360000.0,159.0,Rua Cacilda Yaconis Becker,2264.1509433962265
111,175558, Medianeira,380000.0,132.77,Rua Nunes,2862.0923401370787
112,1698, Auxiliadora,530000.0,118.0,Rua Coronel Bordini,4491.525423728814
113,196075, Agronomia,4512500.0,493.0,Avenida Bento Gonçalves,9153.144016227181
114,180933, Mont Serrat,479000.0,88.32,Rua Tito Lívio Zambecari,5423.460144927537
115,205347, Mont Serrat,2316500.0,171.84,Rua Artur Rocha,13480.563314711359
116,250278, Cidade Baixa,332500.0,69.66,Rua General Lima e Silva,4773.184036749928
117,189157, Santo Antônio,365000.0,75.96,Rua Luiz de Camões,4805.160610847815
118,220826, Independência,250000.0,111.0,Avenida Independência,2252.252252252252
119,250648, Bela Vista,1190000.0,191.28,Rua Pedro Ivo,6221.246340443329
120,253226, Vila Nova,151000.0,52.0,Rua Joaquim de Carvalho,2903.846153846154
121,140158, Petrópolis,655500.0,250.0,Avenida Protásio Alves,2622.0
122,195562, São João,562687.0,67.3,Avenida Ceará,8360.876671619613
123,209786, Chácara das Pedras,1490000.0,213.28,Rua Miracema,6986.121530382596
124,250296, Cristal,198000.0,63.12,Avenida Taquary,3136.8821292775665
125,225996, Rio Branco,1550000.0,232.0,Rua São Vicente,6681.0344827586205
126,254574, Cavalhada,90000.0,50.0,Rua Ênio Aveline da Rocha,1800.0
127,287744, Independência,950000.0,190.0,Rua Jardim Cristofel,5000.0
128,164985, Jardim Itu,155900.0,40.0,Rua Gomes de Freitas,3897.5
129,249853, Moinhos de Vento,690000.0,114.25,Rua Doutor Timóteo,6039.387308533916
130,266204, Teresópolis,570000.0,126.42,Avenida Engenheiro Ludolfo Boehl,4508.780256288562
131,179298, Morro Santana,247000.0,89.99,Rua Ney da Gama Ahrends,2744.7494166018446
132,253620, Cristo Redentor,526600.0,69.22,Rua Adão Baino,7607.627853221612
