,MACROZONE,AREA,LAT_CENTER,LONG_CENTER,LAT_CENTER_POP,LONG_CENTER_POP,HGI_GEOM_CENTER,RGI_GEOM_CENTER,RGI_Scored_GEOM_CENTER,HGI_POP_CENTER,RGI_POP_CENTER,RGI_Scored_POP_CENTER
0,Cidade Jardim,0.0028071300573628832,-30.13109934274515,-51.22037568254666,-30.1236690806554,-51.2251587240246,0.568927616583873,145.5286414957386,145.5286414957386,0.662261659977731,36.58418365489975,36.58418365489975
1,Cidade Radio-Cêntrica,0.0030747376060844545,-30.03925280268078,-51.206502426300936,-30.039151224663,-51.2065873248018,17.95579694054139,78.2351957803078,76.423551342057,18.114105440595136,77.9638795792257,76.1585178438148
2,Cidade Rururbana 1,0.01364380455038372,-30.20177201604654,-51.12149712258329,-30.1926639389988,-51.1470303017811,0.1640687232493877,2.674057764304827,2.408576970428159,0.19750853736723395,4.38698010377762,3.951440162861351
3,Cidade Rururbana 2,0.0007532599627211312,-29.968203601815677,-51.11404903342655,-29.9674910868036,-51.1042664744178,0.42688819079182433,8.146410889304198,5.544506783844673,0.376713198056397,6.973437554488799,4.746172560279825
4,Cidade Rururbana 3,0.00370827936671958,-30.11514384485187,-51.175462085064574,-30.1053093255134,-51.1790340593177,0.7581846310639297,14.91333644492351,10.124571753741495,0.9621289905868232,10.589450489165264,7.189112356326015
5,Cidade Xadrez,0.005426834307741046,-30.021942171175375,-51.136318664873585,-30.0224246975637,-51.1368510947803,1.1458889461870825,456.3840825440922,308.5944450317794,1.1665830607349679,864.3359226857403,584.4403312564426
6,Cidade da Transição,0.0035025220712441296,-30.073732829868923,-51.183339760059575,-30.0760652798217,-51.1952584718443,3.110451683868308,21.79425809612688,14.697906554336917,2.848847742215195,39.420893633576114,26.585195438138125
7,Corredor do Desenvolvimento,0.00259801834317841,-29.984145693542125,-51.16304890250013,-29.9858791803441,-51.1738204118237,1.1678696625862648,18.51507583898749,12.466222079244773,1.553486658134842,33.168716865684075,22.33253561189956
8,Eixo Lomba Restinga,0.0029874222111629933,-30.111020269419736,-51.126360101757385,-30.1073746297271,-51.1244028160191,1.4786439836613199,7.448486092005337,5.009828702360644,2.9788146136847566,7.762263393987549,5.220874344951963
9,Restinga,0.0012349270832601178,-30.155907025562314,-51.150599293382975,-30.1549724090918,-51.1460659417281,0.33225826100654865,25.039489680901085,16.803266448564685,0.3323102281888644,37.67048254006388,25.279554952332298
