,NEIGHBORHOOD,AREA,LAT_CENTER,LONG_CENTER,LAT_CENTER_POP,LONG_CENTER_POP,HGI_GEOM_CENTER,RGI_GEOM_CENTER,RGI_Scored_GEOM_CENTER,HGI_POP_CENTER,RGI_POP_CENTER,RGI_Scored_POP_CENTER
0,ABERTA DOS MORROS,0.0003525246048639019,-30.157143178040336,-51.19983841947199,-30.1543009176723,-51.2017979116601,0.35643925118817593,27.030647665486985,27.030647665486985,0.3737110680597813,20.864913177625432,20.864913177625432
1,AGRONOMIA,0.0008288775709388574,-30.072054325549207,-51.135053710648265,-30.0697070335063,-51.1277964886741,2.402485384312335,12.070538744397911,11.791028682911199,4.0439105380085385,10.841505942901884,10.590455840095526
2,ANCHIETA,0.0008576433424423158,-29.984853341079948,-51.16951825084132,-29.9815014893453,-51.1732378320845,1.3684333286501902,26.974556434050914,24.29651905124803,1.4048058762343316,28.38134660105713,25.56364291211075
3,AUXILIADORA,7.89694597642665e-05,-30.021100348305012,-51.19124371585181,-30.0231987220976,-51.1916666669143,6.595918384453627,72.10047174085763,49.07210796480339,7.093550773508592,46.03486458099075,31.33166524877746
4,AZENHA,0.00012986797537450911,-30.051418728619574,-51.214538734239,-30.051311561066,-51.2125,20.0118191738386,95.84350671949683,65.06756315030135,27.31467066386898,227.85709743669364,154.69077232428126
5,BELA VISTA,9.578282526945259e-05,-30.033445795587355,-51.189930006221886,-30.0315026689756,-51.1916666669143,8.017694081541972,111.05685877192325,75.09361305646182,8.759535308425926,151.36920857664555,102.35172238088875
6,BELÉM NOVO,0.0013928489863701543,-30.20849140080781,-51.17539501433554,-30.2093923200046,-51.1727003622713,0.1734194596467874,43.12393681480095,29.082503784412562,0.17101308336746687,55.00919401367432,37.09784428890747
7,BELÉM VELHO,0.000899209381145738,-30.113595352867247,-51.16897557970043,-30.1151727567679,-51.1661593549752,0.7709171346731646,9.033728073993464,6.082419610551764,0.741190269845326,8.485378554267394,5.7132152416688635
8,BOA VISTA,0.00015782389436935773,-30.02408982848273,-51.17353844442334,-30.0231987220976,-51.1750000002857,6.419929735555796,106.42750766260109,71.58281240278974,6.175279467337189,85.87284731927471,57.757811445105595
9,BOA VISTA DO SUL,0.0022463378456905048,-30.230776939724652,-51.13724203325543,-30.2183473563954,-51.1346333816564,0.12767116447821011,2.1335227066137223,1.431744455264916,0.14353134623470507,2.5053057834559134,1.6812371638168642
10,BOM FIM,4.631146487099613e-05,-30.03264353755579,-51.21295541266874,-30.0315026689756,-51.2125000002,1284.7271144727204,50.3962316988255,33.6430873280282,181.05367353997215,49.63856554233589,33.13729100538637
11,BOM JESUS,0.0001964105603065036,-30.04561313656479,-51.16014747808049,-30.0481105627317,-51.1581528618072,3.2027246851819995,45.53873189470688,30.398446460865404,3.026871517999186,57.20219680347516,38.18415323893635
12,CAMAQUÃ,0.000177878879412674,-30.10692155069423,-51.238976171267474,-30.1097352388983,-51.2375000001429,0.9542174195629075,27.902945028040577,18.62397531631838,0.8917291841846022,24.993832689994687,16.682272161984045
13,CAMPO NOVO,0.0003369285793723975,-30.13781289165979,-51.19961865078803,-30.1331730909766,-51.2021902463647,0.5000508847710674,21.034101676102498,13.977946897459425,0.548193201460024,44.93246229478471,29.859300939015583
14,CASCATA,0.0005006424582916225,-30.093151888881312,-51.173087513372764,-30.093176721917,-51.1741982065423,1.2791631504117151,11.080077412041351,7.358884578323414,1.2873288143770698,11.216731459820876,7.449643995191512
15,CAVALHADA,0.0003519890597090125,-30.111479811794258,-51.22722024785094,-30.1174575285907,-51.2233981944887,0.8865437367105529,29.626555824220418,19.6739684729503,0.7682727427185558,31.552348096846938,20.952820347663724
16,CEL. APARICIO BORGES,0.0002671346765055205,-30.077356469897776,-51.176934274062816,-30.0754450246967,-51.1806185155956,2.348289121000672,25.226770506184643,16.70817446750269,2.7164724850061766,21.16993788202435,14.021256328166956
17,CENTRO HISTÓRICO,0.0002277452244925371,-30.031078270231596,-51.22895565864659,-30.0292639274083,-51.2263937510814,337.6757747057602,119.80887438169681,79.27546233447407,442.43989533700255,162.5705171407063,107.57010258876863
18,CHAPÉU DO SOL,0.0005607586830365108,-30.176719230661707,-51.16039398310028,-30.0360206775603,-51.1625000003143,0.25112291621996646,7.60686417084912,5.001233461653229,4.164955632767037,79.69415346257286,52.39597527224627
19,CHÁCARA DAS PEDRAS,0.00010147266516469244,-30.034707362878798,-51.16300601965543,-30.1783878086696,-51.1664730603405,4.378970781877233,120.55921085538148,79.20922611252534,0.24883283487353136,7.367747470972147,4.840721594207155
20,CIDADE BAIXA,7.12380850700356e-05,-30.039801983363898,-51.22284584780334,-30.0398066158537,-51.2208333335143,51.40325249906684,79.8836543215768,52.420245491692334,38.304653017399836,69.15577973630397,45.38053475061537
21,COSTA E SILVA,0.00016771529578818445,-30.008870147914017,-51.11834124332809,-30.0098377567463,-51.1150374576843,0.6980527761007115,101.82815302928856,66.75369982202616,0.664915402827408,210.79856314930436,138.18952410278644
22,CRISTAL,0.00038073320979492564,-30.087782346876384,-51.24084757639928,-30.0908659322145,-51.2382372912581,1.784796524716698,23.861780795558804,15.636316191751392,1.623847052113918,34.33955034917965,22.502263001354763
23,CRISTO REDENTOR,0.00013386203522713913,-30.011340611300987,-51.15709390899654,-30.0105562653762,-51.1585205301861,1.7222613806271367,84.57410739825976,55.41343251060562,1.7693483560132905,71.82205862894125,47.05821818332885
24,ESPÍRITO SANTO,0.00014940509311145433,-30.14896154237658,-51.2166102883453,-30.1477579252683,-51.2162317546266,0.40765916157123294,131.38935708656206,85.98173559278489,0.41644597673190303,130.3872590339917,85.32595850623304
25,EXTREMA,0.0022480051113689115,-30.20670857350101,-51.05451504610998,-30.2136117563766,-51.0569385963642,0.11621962349985412,1.3316382665626656,0.8705376825271447,0.11131725627531779,1.3060012578991627,0.8537778892189646
26,FARRAPOS,0.00021189388030506962,-29.979285930317445,-51.19695449739657,-29.9846207911228,-51.1958333335715,6.06369194858932,445.4966791003783,289.98098087684554,2.8726130522705438,1632.1024470598659,1062.3618327428246
27,FARROUPILHA,5.547279556594731e-05,-30.03643384727859,-51.21593441988632,-30.036435,-51.215933,39.508546137210374,64.6121461476536,42.05685424292708,39.50855969007369,64.61344009598962,42.05769649008662
28,FLORESTA,0.00017462584537497605,-30.018853161586488,-51.210932917447664,-30.0194015500201,-51.210061427113,14.889300073732734,70.50500230044383,45.83498537676342,15.517163180265822,98.66554535313925,64.14202795399466
29,GLÓRIA,0.00031373851629723504,-30.080719719807384,-51.194046118673235,-30.0769777084857,-51.1963752961281,2.286992202671704,39.487803826446296,25.445875016327317,2.7306511278902317,44.79966010653908,28.868826355986535
30,GUARUJÁ,0.00015777314069964632,-30.158263014866076,-51.216587667435824,-30.1560618721463,-51.2174034829596,0.34893900258847166,55.21524665028118,35.117565834680235,0.36137169651451784,170.74545019318927,108.59617500415308
31,HIGIENÓPOLIS,9.943066027062741e-05,-30.0159984589412,-51.18403422415411,-30.0148947752195,-51.1838044372891,5.327130875879678,57.74790436146631,36.38233377904039,5.541258057097434,55.68924143098889,35.08533499261963
32,HUMAITÁ,0.000338577152660946,-29.98239006142927,-51.18700576726086,-30.1536068285255,-51.1749458284419,2.4227733113746526,50.60684554988451,31.423913601334654,0.36636582605954315,109.37527155002145,67.91569492159809
33,HÍPICA,0.0009674636946783721,-30.155015819412988,-51.17748744146403,-29.9844695169734,-51.1873879029871,0.3597784123241767,42.95419399201363,26.443959431578577,2.3413807628428773,47.451095282656105,29.212393995143508
34,INDEPENDÊNCIA,4.132552999180916e-05,-30.028260176422236,-51.21334896586543,-30.02826,-51.21335,65.44424536071686,49.78113025844496,29.99459965416193,65.44424536071686,49.78087210879667,29.994444111382744
35,IPANEMA,0.00035561350080115517,-30.136170869497178,-51.2218469368583,-30.1354193983824,-51.2247964844247,0.5128443994535052,47.27746530635261,28.475142193910035,0.5180036268179766,76.53439114985852,46.09654211778802
36,JARDIM BOTÂNICO,0.0001904515694377551,-30.052841797426964,-51.18103463814321,-30.0516629942885,-51.1791666669429,58.26536375051637,38.92358054316546,23.308456603973454,50.773626693739,42.43123981781697,25.408934587854525
37,JARDIM CARVALHO,0.0003669581158192159,-30.054877159349438,-51.14577481770526,-30.0555018117027,-51.1469624200449,1.900091074198519,52.966837811172404,31.175752545105524,1.9771627150986313,87.53422572174401,51.521772359853436
38,JARDIM DO SALSO,7.998795058483665e-05,-30.051419729605836,-51.16677452097329,-30.0481105627317,-51.1708333336286,5.384638169077222,78.43115354855654,45.96186705232664,5.386071407720715,331.3014369423695,194.14775774734505
39,JARDIM EUROPA,7.13455651748518e-05,-30.024953194696142,-51.15861077711066,-30.0231987220976,-51.1625000003143,2.447018788315653,270.10256810124724,156.9383675839437,2.8038879882409597,71.99286852894363,41.830195632877924
40,JARDIM FLORESTA,6.763627516193083e-05,-30.00002331455146,-51.15909534473376,-29.9982868814634,-51.1625000003143,1.460880855126865,40.62360148191634,23.483812873540476,1.5385861751506766,34.44855299546321,19.91412240172309
41,JARDIM ISABEL,6.595194497549528e-05,-30.126537534950273,-51.235662145297454,-30.126537,-51.235662,0.6038042621390677,125.58982600862232,71.61532488977114,0.6038042621390677,125.58981649693224,71.61531946590206
42,JARDIM ITU,0.00023895009042007587,-30.019808210344763,-51.1375402470757,-30.0187842097226,-51.1375000003715,1.1535732379574444,409.0629247476962,226.77251786397792,1.139890050593989,274.8116908755599,152.3475614827371
43,JARDIM LEOPOLDINA,0.00012146855976880033,-30.020530025226144,-51.11376551507486,-30.0231987220976,-51.1125000004286,0.7132720522205946,54.98441972760618,30.011979164556518,0.7134493203793242,58.68567295858459,32.03222299728541
44,JARDIM LINDÓIA,8.209391023683565e-05,-30.003809398107556,-51.15140455893254,-30.0046881458188,-51.154166667,1.2951285834016293,121.75532946982406,64.67294866784137,1.407680689289287,115.33224401433529,61.261189381731896
45,JARDIM SABARÁ,0.0001948767587691691,-30.03578782844514,-51.14206510942133,-30.0356486603837,-51.142406793779,1.5141965116652165,224.20452826545002,116.66002719193224,1.527265628970717,142.39362362726976,74.09147412333928
46,JARDIM SÃO PEDRO,9.63660945672018e-05,-30.002641278571875,-51.166620860604894,-29.9982868814634,-51.1708333336286,1.9041604964184156,124.36776622725633,63.8258196870003,1.944537396165455,32.92652530751961,16.897967463346024
47,LAGEADO,0.0021327695510535705,-30.18738333124273,-51.125349068099695,-30.1868645638134,-51.1277245264695,0.19597042783047577,3.6416463347689167,1.8619719928745513,0.19896087460899795,3.8198274049315737,1.9530758870489229
48,LAMI,0.0016615066316489902,-30.233635209072542,-51.08805184910022,-30.2343862420599,-51.0889406471224,0.10748166045801097,1.8494235987544299,0.9442192457679462,0.1071400977243527,1.8478068639126288,0.9433938252672239
49,LOMBA DO PINHEIRO,0.0027846893268588246,-30.11713330085163,-51.119163714311306,-30.1082992966908,-51.1216262340572,0.807337994262388,11.125178551892978,5.621436830915981,2.1388670724786416,8.038832386957749,4.061938264345014
50,MEDIANEIRA,0.0001307714001086424,-30.065088109655754,-51.210478700834514,-30.0320776019358,-51.1028397270802,5.108425905158487,52.42456477777404,26.409259960035417,0.6499847350551943,32.48418867729001,16.364148887185394
51,MENINO DEUS,0.00021524447925003187,-30.05467014298332,-51.224001582440884,-30.0676137650207,-51.209116001388,11.06836322654366,89.30839415553396,44.631062887588094,4.436825373715055,39.81796199942848,19.898666669083376
52,MOINHOS DE VENTO,0.00012268507009594032,-30.023786495999296,-51.202799284949315,-30.0530802075004,-51.2223711429368,33.691890966624484,99.04989419211108,49.418154890158604,13.388022430009455,66.2582923231161,33.05770873849096
53,MONTSERRAT,7.438444015406276e-05,-30.027085264126725,-51.189536877386175,-30.0231987220976,-51.2041666668857,7.117722094378847,45.41908734610523,22.59533728893566,28.190131737022615,83.90808157737692,41.743053753169384
54,MORRO SANTANA,0.0005360689048075074,-30.044015791015216,-51.12401871963344,-30.027085,-51.189536,1.088570398388239,56.71781312988821,28.131076764554436,7.117476587397885,45.42000577805683,22.527555254342403
55,MÁRIO QUINTANA,0.0007031271749156076,-30.03485537787914,-51.101519921836704,-30.0433573907337,-51.1258408758098,0.6515255924383885,30.327045384733324,15.03244921103358,1.115236460653547,34.942833854158586,17.32039400932373
56,NAVEGANTES,0.0002110826352463846,-29.998264479835544,-51.20030437801104,-30.0011688088394,-51.19832170021,15.038511320254713,24.066749195100652,11.922798024796613,10.14431272146331,27.329377483638474,13.53912176668954
57,NONOAI,0.00041763491196888936,-30.092130885465483,-51.21690043595458,-30.0935890390171,-51.2178995912965,1.6556419261146889,21.669079927871945,10.675486686827925,1.5710757895718996,21.8623637951654,10.770709896993667
58,PARQUE SANTA FÉ,0.00016187622441066196,-30.0092715286712,-51.105348592996585,-30.0136969274408,-51.1041666671143,0.5633604012086101,152.73257985719053,75.18005057071817,0.5729596607725473,70.23370779810105,34.57136459665249
59,PARTENON,0.000592964023667264,-30.06304724429471,-51.17698142989572,-30.0614001775643,-51.1818254795291,8.909561546251577,34.555310550744295,16.99111843027546,13.53546184391108,26.580382648708476,13.069783553038185
60,PASSO DA AREIA,0.00019632348073628236,-30.014342073245622,-51.17055122262335,-30.01500659,-51.16633252,2.9046736614083244,151.33956281715965,74.3507173018427,2.5331736194833536,275.94399562041826,135.56689095436127
61,PASSO DAS PEDRAS,0.00021487080448423512,-30.02199430787353,-51.12620224393366,-30.0193423196266,-51.1244276341474,0.9164935493188171,107.21046571218982,52.62229874761194,0.8625079194337905,59.38175006661005,29.146447330522985
62,PEDRA REDONDA,6.235248338271049e-05,-30.12634255907467,-51.24573704740916,-30.1228460846341,-51.2500000001143,0.5805516779819389,29.164419850678478,14.303690851863593,0.6099444110577782,25.66271600619414,12.586280064927568
63,PETRÓPOLIS,0.00031499153965341975,-30.041984305598795,-51.18429964463443,-30.043196913088,-51.189842304847,6.389679385497391,78.39810031854371,38.414746091271354,7.193142620832251,61.88933293386246,30.325518102511175
64,PITINGA,0.0008150705408525027,-30.152545731744997,-51.10550236660282,-30.1496677140595,-51.1058102399542,0.2811098627135655,4.396366265802545,2.152853532110167,0.2944883960449066,4.515737730733052,2.211308461561296
65,PONTA GROSSA,0.0009976411721481782,-30.181943518807216,-51.20581862618742,-30.1810717179971,-51.1913186278946,0.24682358592052445,6.504570620564034,3.1828279171432903,0.24847548268003333,7.829282313011768,3.831038168494693
66,PRAIA DE BELAS,0.00024090602198612032,-30.05114678746831,-51.23405754828293,-30.0413599865468,-51.2320355418267,13.638865456289107,37.20978052978422,18.205096799356166,94.4870293787793,71.34788306279195,34.90735766494463
67,RESTINGA,0.001882254702195496,-30.1468890367583,-51.1451944701327,-30.1538914126276,-51.1413767719423,0.3798177778807161,58.28868848917566,28.509339250338606,0.3326951839051162,100.31099674457187,49.06269656867785
68,RIO BRANCO,0.0001254590348480633,-30.03365994355421,-51.20167037275511,-30.0315026689756,-51.2041666668857,36.1790439662596,62.563642204043376,30.557084464892526,23.128124156923175,174.57467141124658,85.2650643699188
69,RUBEM BERTA,0.00025337512101941684,-30.0133310988854,-51.0972650029114,-30.0176765428976,-51.1001488320085,0.5122756955656115,36.71801180649839,17.848640957001702,0.5539046835068107,41.34299174012669,20.09684564476367
70,SANTA CECÍLIA,6.36196699588254e-05,-30.04119609701088,-51.20253456603562,-30.0398066158537,-51.2041666668857,15.074057038555521,78.7145544597681,38.24133625531203,17.95037183248782,81.31109757607223,39.50279646547888
71,SANTA MARIA GORETTI,7.328687502194953e-05,-30.00574147882473,-51.17558794625869,-30.0065908283415,-51.1750000002858,2.965057965419272,66.29480350814771,32.200246111825074,2.9473936378043373,71.42304926044848,34.69110160286985
72,SANTA ROSA DE LIMA,0.0005141430441426564,-29.991036377785452,-51.10058087477077,-29.9958176775219,-51.1020694457964,0.4494462668726922,29.169026144898538,14.165937540567311,0.4785275750193247,507.7514807309233,246.5895065002981
73,SANTA TEREZA,0.00042271735014765,-30.073267488558038,-51.22618079539473,-30.0738111468609,-51.2255029451266,22.38856958769114,26.646881491199636,12.927931400551453,13.748452143225961,27.96823421376868,13.568995434965606
74,SANTANA,0.00014347554565574683,-30.045640119897023,-51.206712641830904,-30.0430233828591,-51.2092718495333,12.20911038535609,68.55557113541894,33.25219670783099,14.939755343224501,103.67300824479352,50.28555967594288
75,SANTO ANTÔNIO,0.00012810824034659163,-30.058246411663255,-51.203322273414436,-30.0564145096097,-51.2041666668858,6.911467615799219,56.56353608679364,27.38288225575875,7.976626381841521,75.11661890747074,36.364585266341166
76,SARANDI,0.0022971735743340105,-29.98001693385381,-51.127022931241164,-30.1945179398861,-51.0898435070794,0.5848940127487033,37.42839114248672,18.05540785048924,0.15474311483801992,2.040502481056435,0.9843357780235409
77,SERRARIA,0.00030348282598424703,-30.168195774498667,-51.21734664149926,-30.0065908283415,-51.2041666668857,0.2989384470920434,13.321165274989845,6.425708631266539,6.670255615690232,34.437939067935936,16.611772149342734
78,SÃO CAETANO,0.0007776955682174957,-30.19285288754231,-51.085067396604344,-30.0102137396093,-51.1918178807951,0.15361469009841847,1.970031967817573,0.9493048945041448,9.376965941200679,50.6688043566885,24.415920533392804
79,SÃO GERALDO,0.00016291373003696208,-30.00950712788657,-51.20259669771668,-30.003085078018,-51.1458333336858,6.424275889539546,33.72042158108052,16.21634294141398,1.1252370135370795,135.70769124588003,65.26260224057941
80,SÃO JOÃO,0.00014857903477150103,-30.00757872578787,-51.18903304722704,-29.9908983775668,-51.1283366420321,26.244736991265086,37.72164310456748,18.115691235052758,0.6832740678884371,38.81167930557124,18.63917742566419
81,SÃO SEBASTIÃO,9.993557500820316e-05,-30.00392716194362,-51.14400019736273,-30.1665904950382,-51.2224178508044,1.093888940481746,312.96219100717576,150.21228931256118,0.3047497033259885,15.874923806500542,7.619478378403371
